여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,,,,
구분,고유번호,성별,나이,지역,설문일시,문항1
LG,w109677441549966,남,1992년 06월 14일 (만 33 세),대구,2025-01-06 13:15,"2, 4"
LG,w10403680745623,남,1975년 월 일 (만 50 세),경남,2025-01-06 23:03,9
LG,w10492531723177,남,1984년 월 일 (만 41 세),서울,2025-01-06 19:47,2
LG,w17158286524600,남,1982년 10월 08일 (만 43 세),서울,2025-01-07 7:48,2
LG,w112499424528475,남,1969년 02월 17일 (만 56 세),서울,2025-01-06 18:15,4
LG,w361591647541254,여,1993년 07월 26일 (만 32 세),서울,2025-01-06 16:28,4
LG,w10987299044779,여,1990년 12월 17일 (만 35 세),서울,2025-01-06 13:30,10
LG,w267519745596831,남,1965년 01월 29일 (만 60 세),경기,2025-01-07 18:15,4
LG,w302972216712810,남,1979년 11월 15일 (만 46 세),경북,2025-01-06 11:27,4
LG,w310826957952645,남,1994년 04월 25일 (만 31 세),부산,2025-01-07 0:02,"2, 4, 1, 6"
LG,w155737359857437,남,1964년 11월 27일 (만 61 세),인천,2025-01-12 5:19,4
LG,w134439268791010,남,1983년 12월 13일 (만 42 세),경기,2025-01-10 7:25,"3, 9"
LG,w10041665696209,남,1975년 월 일 (만 50 세),대구,2025-01-06 12:22,4
LG,w166266948199461,여,2001년 10월 26일 (만 24 세),전북,2025-01-07 0:16,6
LG,w100918446216317,여,1997년 02월 19일 (만 28 세),경남,2025-01-10 22:56,1
LG,w163437643050226,여,1996년 12월 17일 (만 29 세),인천,2025-01-06 23:02,4
LG,w108368292558189,남,1980년 06월 07일 (만 45 세),인천,2025-01-06 23:26,6
LG,w139333866936156,남,1988년 07월 23일 (만 37 세),경기,2025-01-07 8:22,10
LG,w301965920166135,남,1968년 09월 17일 (만 57 세),서울,2025-01-07 3:19,2
LG,w10337438326167,남,1987년 월 일 (만 38 세),서울,2025-01-07 11:36,4
LG,w193703678115632,남,1996년 04월 29일 (만 29 세),경기,2025-01-07 7:49,4
KT,w310147359396,여,1979년 02월 22일 (만 46 세),인천,2025-01-10 1:10,2
Wiz,w6648423318072,여,1979년 01월 10일 (만 46 세),서울,2025-01-06 15:44,4
LG,w314318877486473,남,1976년 09월 22일 (만 49 세),경기,2025-01-13 19:06,1
LG,w10360055619091,여,1982년 월 일 (만 43 세),부산,2025-01-07 5:07,4
LG,w232203861056591,남,1975년 04월 20일 (만 50 세),전남,2025-01-07 18:55,"4, 9"
LG,w10638663546527,남,1968년 03월 15일 (만 57 세),인천,2025-01-07 4:32,1
LG,w377383234941602,남,1967년 06월 10일 (만 58 세),서울,2025-01-06 23:50,8
LG,w394296592754363,남,1979년 05월 01일 (만 46 세),경기,2025-01-06 23:51,"5, 4"
LG,w134127147244510,남,1969년 03월 15일 (만 56 세),경남,2025-01-07 9:00,10
LG,w204490556795064,여,2000년 11월 17일 (만 25 세),서울,2025-01-06 23:35,2
LG,w45052733224586,남,1963년 05월 15일 (만 62 세),광주,2025-01-13 0:04,5
LG,w23674020069178,남,1958년 10월 24일 (만 67 세),부산,2025-01-11 16:51,2
LG,w169763799523799,여,1984년 12월 02일 (만 41 세),강원,2025-01-08 18:43,4
LG,w92588936524791,여,1992년 08월 10일 (만 33 세),경기,2025-01-06 23:39,"4, 3, 2"
LG,w66743413604032,남,1990년 05월 11일 (만 35 세),경기,2025-01-08 1:44,10
LG,w327214055253832,여,2006년 06월 09일 (만 19 세),충남,2025-01-09 9:48,4
LG,w22304076386058,여,1978년 01월 04일 (만 47 세),서울,2025-01-07 8:36,1
Wiz,w588685562809,남,1964년 11월 15일 (만 61 세),서울,2025-01-06 23:41,4
LG,w11524513605298,남,1996년 월 일 (만 29 세),경기,2025-01-06 13:58,"1, 3"
LG,w216963499931643,남,1963년 05월 21일 (만 62 세),경기,2025-01-07 5:27,"4, 8"
LG,w8166548078651,남,1975년 월 일 (만 50 세),서울,2025-01-06 20:13,"1, 2"
LG,w111458434697741,여,1962년 04월 09일 (만 63 세),경기,2025-01-06 14:23,4
LG,w10315451814966,여,1982년 월 일 (만 43 세),서울,2025-01-06 11:38,5
LG,w13639324205539,남,1975년 09월 15일 (만 50 세),경기,2025-01-06 21:40,"3, 2"
LG,w255822455925200,남,1974년 09월 26일 (만 51 세),경북,2025-01-06 10:56,8
LG,w226572071835391,남,1999년 08월 29일 (만 26 세),경기,2025-01-07 15:24,"6, 4, 8, 1"
LG,w10834157534742,남,1994년 월 일 (만 31 세),부산,2025-01-07 14:47,10
LG,w36656446951210,여,1967년 08월 20일 (만 58 세),경기,2025-01-07 7:31,"5, 4"
LG,w178619053213016,여,1956년 02월 15일 (만 69 세),부산,2025-01-07 7:20,4
LG,w206329687278769,여,1985년 10월 29일 (만 40 세),경기,2025-01-13 8:41,10
LG,w376596476486309,여,1990년 05월 05일 (만 35 세),서울,2025-01-07 7:34,"2, 1, 6, 3, 5"
LG,w37610760212767,남,1966년 07월 04일 (만 59 세),경기,2025-01-07 7:02,4
LG,w144532212392131,남,1965년 10월 25일 (만 60 세),대구,2025-01-06 10:09,4
LG,w30938826683731,남,1980년 09월 02일 (만 45 세),충남,2025-01-06 10:37,4
LG,w220584251268170,남,1964년 02월 15일 (만 61 세),울산,2025-01-06 13:21,4
KT,w126817430352205,남,1957년 03월 14일 (만 68 세),,2025-01-07 9:23,4
LG,w15104235293978,남,1957년 02월 06일 (만 68 세),충남,2025-01-06 14:42,"1, 5, 4"
LG,w122442293597342,여,1971년 01월 01일 (만 54 세),전남,2025-01-08 21:12,2
LG,w9903893793551,남,1977년 월 일 (만 48 세),부산,2025-01-06 21:42,1
